Dataset, algorithm, params, accuracy, precision(avg), recall(avg)
feature_selection/Univariante ROC_AUC/Qualitative to mode/Continuous to median/Balancing_Undersampling_Tomeklinks/Logistic normalised,ANN,"{'batch_size': 512, 'optimizer': 'adam'}",0.771,0.827,0.771

feature_selection/Correlation/Qualitative deleted/Continuous deleted/Balancing_Oversamlping_SMOTE/Logistic normalised,ANN,"{'batch_size': 128, 'optimizer': 'adam'}",0.787,0.814,0.787

feature_selection/Correlation/Qualitative deleted/Continuous deleted/Balancing_Undersampling_Tomeklinks/Logistic normalised,ANN,"{'batch_size': 800, 'optimizer': 'rmsprop'}",0.772,0.822,0.772

feature_selection/Correlation/Qualitative deleted/Continuous to median/Balancing_Oversamlping_SMOTE/Logistic normalised,ANN,"{'batch_size': 512, 'optimizer': 'rmsprop'}",0.747,0.747,0.747

feature_selection/Correlation/Qualitative deleted/Continuous to median/Balancing_Undersampling_Tomeklinks/Logistic normalised,ANN,"{'batch_size': 256, 'optimizer': 'adam'}",0.733,0.744,0.733

feature_selection/Correlation/Qualitative to mode/Continuous deleted/Balancing_Oversamlping_SMOTE/Logistic normalised,ANN,"{'batch_size': 512, 'optimizer': 'adam'}",0.725,0.727,0.725

feature_selection/Correlation/Qualitative to mode/Continuous deleted/Balancing_Undersampling_Tomeklinks/Logistic normalised,ANN,"{'batch_size': 128, 'optimizer': 'adam'}",0.727,0.728,0.727

feature_selection/Correlation/Qualitative to mode/Continuous to median/Balancing_Oversamlping_SMOTE/Logistic normalised,ANN,"{'batch_size': 128, 'optimizer': 'adam'}",0.78,0.816,0.78

feature_selection/Correlation/Qualitative to mode/Continuous to median/Balancing_Undersampling_Tomeklinks/Logistic normalised,ANN,"{'batch_size': 800, 'optimizer': 'rmsprop'}",0.774,0.81,0.774



feature_selection/Correlation/Qualitative deleted/Continuous deleted/Balancing_Oversamlping_SMOTE/Z normalised,SVM,"{'gamma': 0.1, 'C': 10}",0.836,0.846,0.836
feature_selection/Correlation/Qualitative deleted/Continuous deleted/Balancing_Undersampling_Tomeklinks/Z normalised,SVM,"{'gamma': 0.001, 'C': 0.1}",0.801,0.844,0.801
feature_selection/Correlation/Qualitative deleted/Continuous to median/Balancing_Oversamlping_SMOTE/Z normalised,SVM,"{'gamma': 0.1, 'C': 10}",0.817,0.828,0.817
feature_selection/Correlation/Qualitative deleted/Continuous to median/Balancing_Undersampling_Tomeklinks/Z normalised,SVM,"{'C': 0.1, 'gamma': 0.001}",0.78,0.831,0.78
feature_selection/Correlation/Qualitative to mode/Continuous deleted/Balancing_Oversamlping_SMOTE/Z normalised,SVM,"{'gamma': 0.1, 'C': 10}",0.832,0.844,0.832
feature_selection/Correlation/Qualitative to mode/Continuous deleted/Balancing_Undersampling_Tomeklinks/Z normalised,SVM,"{'C': 10, 'gamma': 0.01}",0.801,0.843,0.801
feature_selection/Correlation/Qualitative to mode/Continuous to median/Balancing_Oversamlping_SMOTE/Z normalised,SVM,"{'gamma': 0.1, 'C': 10}",0.823,0.834,0.823
feature_selection/Correlation/Qualitative to mode/Continuous to median/Balancing_Undersampling_Tomeklinks/Z normalised,SVM,"{'gamma': 0.001, 'C': 10}",0.778,0.83,0.778



